제품명,가격
DEEPCOOL AG400,"21,700"
PentaWave Z06D (BLACK),"56,830"
DARKFLASH Ellsworth D21 (BLACK),"42,300"
Thermalright Peerless Assassin 120 SE 서린,"36,600"
PCCOOLER PALADIN 400,"28,390"
DARKFLASH Ellsworth S21 (블랙),"25,500"
DARKFLASH Ellsworth S21 ARGB (블랙),"27,500"
PCCOOLER PALADIN EX400 (BLACK),"21,620"
쿨러마스터 HYPER 620S ARGB,"36,700"
3RSYS Socoool RC-1800 Quiet 솔더링 (BLACK),"62,200"
발키리 GL360 ARGB (BLACK),"161,000"
DARKFLASH Ellsworth S21 ARGB (화이트),"30,000"
DARKFLASH NEBULA DN-360 ARGB (블랙),"80,000"
DEEPCOOL AG620,"37,340"
PentaWave Z06D (WHITE),"61,400"
DARKFLASH Ellsworth S21 (화이트),"25,140"
PCCOOLER PALADIN EX400 ARGB,"23,500"
DEEPCOOL AG400 ARGB,"28,600"
3RSYS Socoool RC-1800 Quiet 솔더링 (WHITE),"64,600"
DARKFLASH NEBULA DN-360 ARGB (화이트),"84,000"
발키리 A360 ARGB (BLACK),"93,500"
발키리 A360 ARGB (WHITE),"105,000"
PCCOOLER G6 (BLACK),"37,800"
PCCOOLER G6 (WHITE),"51,000"
발키리 GL360 ARGB (WHITE),"173,500"
NZXT KRAKEN 360,"206,800"
NZXT KRAKEN 360 RGB (WHITE),"307,850"
PCCOOLER PALADIN 400 ARGB,"33,100"
3RSYS Socoool 라니 XY-360 Quiet (BLACK),"157,000"
3RSYS Socoool 라니 XY-360 Quiet (WHITE),"164,500"
JONSBO TG-360 ARGB (BLACK),"84,100"
JONSBO TG-360 ARGB (WHITE),"84,100"
DEEPCOOL LS720 ARGB,"172,400"
DEEPCOOL LT720 (WHITE),"123,220"
XIGMATEK AIR-KILLER S RGB,"27,040"
Antec NEPTUNE 240 ARGB,"122,300"
명인일렉트로닉스 엠트루 S21130EGS,"119,600"
Iceberg Thermal IceFLOE T95,"22,880"
SilverStone AR01-V2,"50,180"
3RSYS Socoool RC410 ARGB (WHITE),"35,200"
EVERCOOL EC155A-915BP SLIM /쿨러/튜닝,"14,470"
