제품명,가격
AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)),"206,500"
AMD 라이젠7-5세대 7800X3D (라파엘) (정품),"521,000"
AMD 라이젠7-5세대 7800X3D (라파엘) (멀티팩(정품)),"510,300"
인텔 코어i5-13세대 13400F (랩터레이크) (정품),"254,250"
인텔 코어i5-13세대 13400 (랩터레이크) (정품),"309,210"
AMD 라이젠5-4세대 5600 (버미어) (멀티팩(정품)),"131,540"
AMD 라이젠5-4세대 5600G (세잔) (멀티팩),"146,080"
인텔 코어i9-14세대 14900K (랩터레이크 리프레시) (정품),"809,470"
인텔 코어i9-14세대 14900KF (랩터레이크 리프레시) (정품),"803,910"
인텔 코어i7-14세대 14700KF (랩터레이크 리프레시) (정품),"546,890"
인텔 코어i7-14세대 14700K (랩터레이크 리프레시) (정품),"579,720"
AMD 라이젠5-5세대 7600 (라파엘) (정품),"240,990"
AMD 라이젠5-5세대 7600 (라파엘) (멀티팩(정품)),"240,860"
AMD 라이젠7-5세대 7700 (라파엘) (정품),"429,890"
인텔 코어i5-12세대 12400F (엘더레이크) (정품),"168,190"
AMD 라이젠7-5세대 7700 (라파엘) (멀티팩(정품)),"374,160"
인텔 코어i5-12세대 12400 (엘더레이크) (정품),"209,780"
인텔 코어i5-13세대 13500 (랩터레이크) (정품),"336,060"
인텔 코어i5-14세대 14600KF (랩터레이크 리프레시) (정품),"402,880"
인텔 코어i5-14세대 14600K (랩터레이크 리프레시) (정품),"438,500"
인텔 코어i5-13세대 13600KF (랩터레이크) (정품),"409,110"
인텔 코어i5-13세대 13600K (랩터레이크) (정품),"442,920"
AMD 라이젠9-5세대 7900X3D (라파엘) (정품),"653,110"
AMD 라이젠9-5세대 7900X3D (라파엘) (멀티팩(정품)),"671,360"
AMD 라이젠7-5세대 7700X (라파엘) (멀티팩(정품)),"411,730"
AMD 라이젠7-5세대 7700X (라파엘) (정품),"428,490"
인텔 코어i7-13세대 13700K (랩터레이크) (정품),"587,030"
인텔 코어i7-13세대 13700KF (랩터레이크) (정품),"547,920"
AMD 라이젠9-5세대 7900X (라파엘) (정품),"578,400"
인텔 코어i9-13세대 13900K (랩터레이크) (정품),"824,000"
인텔 코어i9-13세대 13900KF (랩터레이크) (정품),"781,160"
AMD 라이젠9-5세대 7900X (라파엘) (멀티팩(정품)),"530,930"
AMD 라이젠9-5세대 7900 (라파엘) (정품),"542,970"
AMD 라이젠9-5세대 7900 (라파엘) (멀티팩(정품)),"517,880"
인텔 코어i9-13세대 13900F (랩터레이크) (정품),"785,000"
인텔 코어i9-13세대 13900 (랩터레이크) (정품),"811,010"
인텔 코어i7-13세대 13700F (랩터레이크) (정품),"516,110"
인텔 코어i7-13세대 13700 (랩터레이크) (정품),"552,550"
인텔 코어i3-12세대 12100 (엘더레이크) (정품),"149,970"
인텔 코어i3-12세대 12100F (엘더레이크) (정품),"118,370"
인텔 코어i5-12세대 12600KF (엘더레이크)(벌크+쿨러RS1),"222,980"
인텔 코어i7-9세대 9700KF 커피레이크-R (정품박스)(쿨러미포함),"494,080"
[중고] 인텔 코어i7-4세대 4790 (하스웰 리프레시),"68,230"
[중고] 인텔 코어i7-6세대 6700 (스카이레이크),"110,140"
인텔 코어i9-13세대 13900 (랩터레이크) (병행수입박스),"811,350"
[중고]인텔 코어i7-8세대 8700 (커피레이크),"165,720"
[중고] 인텔 코어i5-8세대 8500 (커피레이크),"90,580"
인텔 코어i7-12세대 12700 (엘더레이크) (정품),"389,800"
[중고] 인텔 코어i3-2세대 2120 (샌디브릿지),"4,660"
인텔 코어i7-10세대 10700K 코멧레이크S 어벤져스 에디션 (정품박스)(쿨러미포함),"411,730"
(인텔) 셀러론 G530 샌디브릿지 벌크 /CPU,"1,890"
인텔 코어i7-12세대 12700 (엘더레이크)(벌크),"338,650"
[중고] 인텔 코어i3-6세대 6100 (스카이레이크),"20,180"
(인텔) 코어i7-7세대 7700 (카비레이크)(벌크),"145,140"
(인텔) 셀러론 G550 샌디브릿지 벌크 /CPU,"1,890"
[중고] 인텔 코어i3-7세대 7100 (카비레이크),"25,730"
(인텔) 코어i7-7세대 7700 (카비레이크)(벌크+쿨러),"183,220"
(인텔) 셀러론 G530 샌디브릿지 벌크+쿨러 /CPU,"15,800"
인텔 코어i3-10세대 10105 (코멧레이크S 리프레시)(정품),"158,520"
[중고] 인텔 코어i3-8세대 8100 (커피레이크),"54,040"
[중고] 인텔 펜티엄 G4400 (스카이레이크),"5,690"
인텔 코어i7-8세대 8700K (커피레이크)(벌크+쿨러),"197,630"
[중고] 인텔 펜티엄 G4560 (카비레이크),"8,230"
인텔 코어i9-14세대 14900 (랩터레이크 리프레시) (정품),"815,310"
[중고] 인텔 펜티엄 G4600 (카비레이크),"11,320"
인텔 코어i7-8세대 8700 커피레이크 (병행수입벌크+쿨러포함),"194,460"
인텔 코어i9-14세대 14900F (랩터레이크 리프레시) (정품),"789,000"
[중고] 인텔 셀러론 G3900 스카이레이크 (병행수입벌크)(쿨러미포함),"6,210"
인텔 코어i7-8세대 8700 (커피레이크),"522,500"
인텔 코어i7-14세대 14700 (랩터레이크 리프레시) (정품),"551,420"
[중고] 인텔 셀러론 G3900 (스카이레이크)(벌크),"10,400"
인텔 제온 스케일러블 골드 6248R 벌크(병행수입),"5,479,770"
(인텔) 셀러론 G540 샌디브릿지 벌크+쿨러 /CPU,"15,770"
인텔 코어i7-9세대 9700K 커피레이크-R (병행수입벌크)(쿨러미포함),"275,610"
인텔 XEON 5220R CPU (스케일러블 골드/LGA3647/쿨러미포함) 벌크,"2,165,000"
[중고] 인텔 셀러론 G540 샌디브릿지 벌크 /CPU,"1,890"
인텔 코어i7-9세대 9700KF 커피레이크-R (병행수입벌크)(쿨러미포함),"231,600"
인텔 제온 스케일러블 골드 6230R 벌크 (병행수입),"2,312,100"
"인텔 셀러론 G5905 (코멧레이크S)(병행수입벌크, 쿨러미포함)","47,760"
[중고] 인텔 코어i5-7세대 7500 (카비레이크)(벌크) AS1개월,"68,800"
인텔 코어i7-9세대 9700KF 커피레이크-R (병행수입벌크+쿨러포함),"502,850"
인텔 셀러론 G5905 (코멧레이크S)(병행수입벌크+쿨러),"52,940"
[중고]인텔 코어i5-7세대 7500 (카비레이크)(벌크 동판쿨러) AS1개월,"103,580"
인텔 코어i7-9세대 9700F 커피레이크-R (병행수입벌크)(쿨러미포함),"206,970"
인텔 코어i5-14세대 14400 (랩터레이크 리프레시) (정품),"322,390"
인텔 코어i7-14세대 14700F (랩터레이크 리프레시) (정품),"528,560"
인텔 코어i5-14세대 14500 (랩터레이크 리프레시) (정품),"335,560"
인텔 코어i7-14세대 14700 (랩터레이크 리프레시) (벌크+동판쿨러RM1),"556,200"
인텔 코어i7-9세대 9700 커피레이크-R (병행수입벌크)(쿨러미포함),"270,720"
인텔 코어i5-14세대 14400F (랩터레이크 리프레시) (정품),"281,940"
인텔 코어i5-14세대 14600 (랩터레이크 리프레시) (벌크),"361,800"
인텔 코어i7-9세대 9700 커피레이크-R (병행수입벌크+쿨러포함),"380,850"
인텔 코어i3-14세대 14100F (랩터레이크 리프레시) (정품),"162,120"
인텔 코어i7-6세대 6700 스카이레이크 (병행수입벌크)(쿨러미포함),"118,890"
AMD 라이젠5-5세대 7500F (라파엘) (벌크),"207,790"
인텔 코어i3-14세대 14100 (랩터레이크 리프레시) (정품),"201,650"
AMD 라이젠9-5세대 7950X3D (라파엘) (정품),"885,130"
인텔 코어i7-8세대 8700K 커피레이크 (병행수입벌크)(쿨러미포함),"182,190"
(인텔) 셀러론 G1850 하스웰 리프레시 벌크 /CPU,"3,680"
인텔 코어i7-9세대 9700KF 커피레이크-R (병행수입박스)(쿨러미포함),"496,140"
인텔 코어i5-9세대 9600KF 커피레이크-R (정품박스)(쿨러미포함),"275,860"
(인텔) 셀러론 G3920 스카이레이크 벌크 /CPU,"37,350"
AMD 라이젠9-4세대 5950X (버미어) (벌크),"610,610"
인텔 셀러론 G3900 (스카이레이크)(벌크),"15,800"
인텔 코어i5-10세대 10400 (코멧레이크S)(정품박스)(쿨러포함),"184,050"
인텔 셀러론 G1820 하스웰 (벌크),"3,700"
인텔 코어i9-10세대 10900 코멧레이크S(병행수입박스),"440,850"
[중고] 인텔 코어i3-4세대 4150 하스웰 리프레시 벌크 A/S 1개월 가능,"6,800"
인텔 코어i9-10세대 10900F 코멧레이크S (병행수입박스)(쿨러포함),"342,530"
인텔 코어i5-10세대 10400F (코멧레이크S)(정품박스)(쿨러포함),"140,810"
[중고] 인텔 코어i3-4세대 4170 하스웰 리프레시 벌크 A/S 1개월 가능,"7,880"
인텔 코어i3-9세대 9100 (커피레이크-R) (벌크),"101,390"
인텔 코어i3-9세대 9100 (커피레이크-R) (벌크+쿨러),"107,050"
인텔 코어i9-11세대 11900F (로켓레이크S)(벌크+동판쿨러),"253,510"
