제품명,가격
ZOTAC GAMING 지포스 RTX 4070 Ti Trinity OC D6X 12GB,"1,135,730"
ASUS DUAL 라데온 RX 7600 O8G OC D6 8GB,"351,500"
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge D6 8GB,"537,700"
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge OC D6 8GB White,"595,000"
ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 대원씨티에스,"266,600"
GIGABYTE 지포스 RTX 4070 WINDFORCE OC D6X 12GB 피씨디렉트,"811,000"
ZOTAC GAMING 지포스 RTX 4080 AMP EXTREME AIRO D6X 16GB,"1,655,750"
ZOTAC GAMING 지포스 RTX 4080 AMP EXTREME AIRO D6X 16GB White,"1,667,900"
SAPPHIRE 라데온 RX 7800 XT PULSE D6 16GB,"731,000"
이엠텍 지포스 RTX 4060 STORM X Dual OC D6 8GB,"419,490"
이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,"554,900"
갤럭시 GALAX 지포스 RTX 4070 EX GAMER WHITE OC D6X 12GB,"868,000"
ZOTAC GAMING 지포스 RTX 4070 Ti AMP EXTREME AIRO D6X 12GB,"1,172,180"
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 8GB,"530,300"
ZOTAC GAMING 지포스 RTX 4060 TWIN Edge OC D6 8GB,"406,040"
ASUS DUAL 지포스 RTX 4060 O8G OC D6 8GB,"460,700"
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 16GB,"601,000"
이엠텍 지포스 RTX 4060 Ti MIRACLE WHITE D6 8GB,"553,690"
MSI 지포스 RTX 4070 Ti 게이밍 X 슬림 D6X 12GB 트라이프로져3,"1,139,100"
SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,"387,030"
GIGABYTE 지포스 RTX 4060 WINDFORCE OC D6 8GB 피씨디렉트,"433,000"
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,"390,300"
MSI 지포스 RTX 4090 슈프림X D6X 24GB 트라이프로져3S,"2,990,000"
SAPPHIRE 라데온 RX 7800 XT NITRO+ OC D6 16GB,"798,000"
갤럭시 GALAX 지포스 RTX 4060 EX WHITE OC D6 8GB,"488,000"
이엠텍 지포스 RTX 4070 GAMINGPRO OC D6X 12GB,"895,040"
ASUS DUAL 라데온 RX 6600 D6 8GB 대원CTS,"294,630"
GIGABYTE 지포스 RTX 4070 Ti EAGLE OC V2 D6X 12GB 피씨디렉트,"1,110,000"
MSI 지포스 RTX 4060 Ti 게이밍 X D6 16GB 트윈프로져9,"639,630"
GIGABYTE 지포스 RTX 3050 WINDFORCE OC D6 6GB 피씨디렉트,"272,000"
갤럭시 GALAX 지포스 RTX 3060 Ti D6 8GB LHR,"577,280"
AFOX 지포스 GTX750 Ti D5 2GB DUAL 에이치엔에스텍,"177,590"
AFOX 지포스 GT710 L5 D3 1GB LP 디앤디컴,"43,230"
이엠텍 지포스 RTX 4060 MIRACLE WHITE D6 8GB,"434,000"
ASUS 지포스 GT730 4H SL D5 2GB,"145,600"
ASUS ROG STRIX 지포스 RTX 4090 O24G GAMING OC D6X 24GB White,"3,556,900"
SAPPHIRE 라데온 RX 7700 XT PULSE D6 12GB,"640,500"
갤럭시 갤라즈 GALAX 지포스 RTX 3050 V2 D6 8GB,"369,410"
갤럭시 BOY 지포스 RTX 4070 EX GAMER BLACK OC D6X 12GB,"843,150"
STCOM 라데온 RX 580 2048SP Gaming D5 8GB,"120,640"
inno3D 지포스 GTX 1650 D6 4GB TWIN X2 OC V3,"189,400"
갤럭시 갤라즈 GALAX 지포스 GTX 1630 D6 4GB LP,"212,170"
GIGABYTE 지포스 RTX 3060 WINDFORCE OC D6 12GB 제이씨현,"473,930"
MSI 지포스 RTX 3060 벤투스 2X OC D6 8GB,"373,000"
NVIDIA RTX A6000 D6 48GB (병행수입),"6,518,100"
GIGABYTE 지포스 GTX 1650 UD2 OC D5 4GB Nano LP 피씨디렉트,"230,810"
Colorful iGAME 지포스 RTX 4070 Ti Neptune OC D6X 12GB,"1,209,470"
GIGABYTE 지포스 RTX 4090 AERO OC D6X 24GB 제이씨현,"2,952,100"
인텔 Arc A750 Limited Edition D6 8GB 코잇,"350,900"
ASUS DUAL 라데온 RX 7600 O8G V2 OC D6 8GB,"352,000"
Colorful 지포스 RTX 4070 Ti 토마호크 EX D6X 12GB,"1,107,030"
ARKTEK 지포스 GT730 D3 2GB LP,"52,690"
갤럭시 GALAX 지포스 RTX 4060 Ti OC D6 8GB,"538,300"
갤럭시 GALAX 지포스 RTX 4060 Ti EX WHITE OC D6 8GB,"609,400"
MSI 지포스 GT710 D3 1GB LP 무소음 V2,"45,250"
갤럭시 GALAX 지포스 RTX 4060 Ti EX BLACK OC D6 8GB,"580,000"
Colorful iGame 지포스 RTX 4070 SUPER ULTRA OC D6X 12GB White,"956,800"
MAXSUN 지포스 GTX1050 Ti 트랜스포머 D5 4GB,"176,560"
갤럭시 GALAX 지포스 GT730 D3 4GB LP,"66,080"
GIGABYTE 지포스 GTX 1660 SUPER Gaming D6 6GB,"675,820"
