제품명,가격
TeamGroup DDR5-5600 CL46 Elite (16GB),"61,370"
마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)),"120,000"
"OLOy DDR5-6000 CL32 BLADE RGB MIRROR 패키지 (32GB(16Gx2))
하이닉스 A다이 언락 제품!","192,500"
"ADATA XPG DDR5-6000 CL30 LANCER RGB 화이트 패키지 (32GB(16Gx2))
하이닉스 A다이 언락 제품!","174,900"
"ADATA XPG DDR5-6000 CL30 LANCER RGB 블랙 패키지 (32GB(16Gx2))
하이닉스 A다이 언락 제품!","174,000"
TeamGroup DDR5-5600 CL46 Elite 서린 (16GB),"62,000"
ESSENCORE KLEVV DDR5-5600 CL46 (16GB),"67,000"
마이크론 Crucial DDR4-3200 CL22 대원씨티에스 (8GB),"22,130"
삼성전자 DDR4-3200 (8GB) PC4-25600,"22,550"
마이크론 Crucial DDR4-3200 CL22 대원씨티에스 (16GB),"42,600"
삼성전자 DDR4-3200 (16GB) PC4-25600,"44,550"
TeamGroup T-Force DDR5-6000 CL38 Delta RGB 화이트 패키지 아인스 (32GB(16Gx2)),"163,500"
TeamGroup T-Force DDR5-6000 CL38 Delta RGB 패키지 (32GB(16Gx2)),"163,510"
패트리어트 PATRIOT DDR5 16G PC5-44800 CL46 SIGNATURE 5600MHz,"65,000"
G.SKILL DDR5-6000 CL32 TRIDENT Z5 NEO RGB J 패키지 (64GB(32Gx2)),"337,600"
ADATA DDR5-5600 CL46 패키지 (32GB(16Gx2)),"110,600"
마이크론 Crucial DDR5-5600 CL46 (32GB),"115,900"
마이크론 Crucial DDR4-3200 CL22 (16GB),"42,200"
TeamGroup DDR5-5600 CL46 Elite 서린 (32GB),"124,000"
패트리어트 PATRIOT DDR5-5600 CL46 SIGNATURE (32GB),"118,500"
ESSENCORE KLEVV DDR5-5600 CL46 (32GB),"123,300"
TeamGroup DDR5-5600 CL46 Elite Plus 블랙 서린 (32GB),"126,680"
"ADATA DDR5-5600 CL46 (32GB)
하이닉스 A다이 언락 제품!","131,400"
TeamGroup DDR5-5600 CL46 Elite Plus 실버 서린 (32GB),"125,000"
G.SKILL DDR5-6000 CL30 TRIDENT Z5 RGB J 실버 패키지 (64GB(32Gx2)),"336,560"
