제품명,가격
ASUS PRIME A520M-A II 대원CTS,"81,400"
ASRock A620M-HDV/M.2+ 대원씨티에스,"126,200"
ASRock B650M PG Riptide 대원씨티에스,"211,490"
GIGABYTE B650M K 피씨디렉트,"160,200"
MSI MAG B760M 박격포,"198,630"
ASRock B760M 스틸레전드 WiFi D5 에즈윈,"218,500"
ASUS TUF GAMING B650-PLUS WIFI 대원씨티에스,"338,980"
ASUS TUF GAMING B650-PLUS 대원씨티에스,"301,000"
GIGABYTE Z790 AORUS ELITE X 피씨디렉트,"372,100"
GIGABYTE Z790 AORUS ELITE AX ICE 피씨디렉트,"373,600"
MSI PRO B650M-A WIFI,"191,000"
ASRock B650 PG Lightning 대원씨티에스,"260,890"
ASUS PRIME A320M-K 대원CTS,"70,900"
ASUS PRIME H610M-K D4 인텍앤컴퍼니,"98,440"
ASRock H610M-HDV/M.2 R2.0 D4 대원씨티에스,"94,180"
ASRock B760M PG SONIC WiFi D5 에즈윈,"208,500"
ASUS PRIME B550M-A 대원CTS,"123,990"
ASUS PRIME B660M-K D4 인텍앤컴퍼니,"139,000"
ASRock B760M PG Riptide D5 대원씨티에스,"172,410"
ASRock X670E 스틸레전드 대원씨티에스,"434,080"
GIGABYTE B650 AORUS ELITE AX 피씨디렉트,"302,570"
ASUS ROG STRIX B760-G GAMING WIFI 코잇,"227,640"
ASRock B760M Pro RS D5 에즈윈,"170,000"
MSI MAG B650 토마호크 WIFI,"316,000"
GIGABYTE B650M AORUS ELITE AX ICE 피씨디렉트,"256,000"
ASUS PRIME A520M-K 대원CTS,"73,080"
MSI B550M PRO-VDH WIFI,"133,000"
ASRock B650M Pro RS 대원씨티에스,"180,000"
MSI A520M-A PRO,"73,000"
ASRock B650M Pro RS WiFi 대원씨티에스,"240,350"
MSI MPG B650 엣지 WIFI,"344,000"
ASRock B650M Pro RS 디앤디컴,"178,200"
MSI MAG B760 토마호크 WIFI,"238,000"
GIGABYTE Z790 AORUS PRO X 피씨디렉트,"479,000"
MSI PRO Z790-A WIFI DDR4,"411,860"
Biostar B760MXC PRO2.0 이엠텍,"129,180"
ASRock B560M-HDV 디앤디컴,"94,000"
ASUS ProArt B550-CREATOR 대원CTS,"243,100"
GIGABYTE B550 AORUS PRO V2 피씨디렉트,"268,170"
ASUS PRIME H510M-K STCOM,"98,800"
Biostar H610MH D5 이엠텍,"89,960"
ASUS ROG CROSSHAIR X670E HERO 대원씨티에스,"998,400"
ASUS ROG STRIX X670E-E GAMING WIFI 대원씨티에스,"760,680"
ASUS TUF Gaming B660-PLUS WIFI D4 인텍앤컴퍼니,"267,570"
ASUS PRIME A520M-K STCOM,"77,400"
ASUS PRIME B760M-PLUS-CSM 인텍앤컴퍼니,"220,280"
ASUS PRIME H410M-A STCOM,"123,520"
ASUS TUF Gaming Z790-BTF WIFI 인텍앤컴퍼니,"514,670"
ASUS TUF Gaming B660M-PLUS D4 인텍앤컴퍼니,"226,000"
ASUS TUF Gaming B660M-PLUS WIFI D4 인텍앤컴퍼니,"228,570"
GIGABYTE H610M K D4 제이씨현 (벌크),"85,100"
ASUS PRIME A520M-K/CSM STCOM,"111,170"
ASRock B760M-HDVP D5 에즈윈 (벌크),"134,500"
ASRock B760M-HDVP D5 에즈윈,"136,600"
ASUS PRIME Z790M-PLUS D4-CSM 인텍앤컴퍼니,"328,360"
ASUS PRO WS WRX90E-SAGE SE STCOM,"1,936,490"
ASUS TUF Gaming B760M-PLUS 코잇,"204,690"
GIGABYTE A520M K V2 제이씨현,"71,300"
ASRock A520M-HVS 에즈윈 (벌크),"72,800"
ASRock Rack ROMED8-2T,"1,296,960"
ASRock B760M-HDVP D5 디앤디컴 (벌크),"133,500"
ASUS ROG STRIX B660-A GAMING WIFI D4 인텍앤컴퍼니,"297,000"
ASUS ROG STRIX B760-F GAMING WIFI 인텍앤컴퍼니,"344,900"
ASRock A620M Pro RS WIFI 에즈윈,"181,800"
ASUS WS X299 SAGE 대원씨티에스,"952,140"
ASRock B760M-HDVP D5 디앤디컴,"134,000"
ASRock B760M Pro RS D5 + WiFi7 모듈 패키지 디앤디컴,"219,000"
ASRock B650M Pro RS 에즈윈,"185,000"
ASUS WS X299 PRO-SE 대원씨티에스,"599,070"
ASRock B760 Pro RS D5 + WiFi7 모듈 패키지 디앤디컴,"275,500"
ASRock B650E PG Riptide WiFi 디앤디컴,"396,000"
ASRock Z790 PG Lightning D5 + WiFi7 모듈 패키지 디앤디컴,"320,000"
ASRock B650M PG Riptide 에즈윈,"217,370"
MSI MPG Z790 엣지 TI 맥스 WIFI,"488,000"
ASRock Z790 Pro RS D5 + WiFi7 모듈 패키지 디앤디컴,"369,000"
ASUS TUF Gaming B660M-PLUS WIFI D4 STCOM,"221,990"
ASRock Z790 LiveMixer D5 에즈윈,"386,080"
MSI PRO Z790-A 맥스 WIFI,"382,000"
ASRock B650M PG Riptide 디앤디컴,"223,860"
MSI MAG Z790 토마호크 맥스 WIFI,"406,600"
ASRock B760M Pro RS D5 디앤디컴,"168,500"
MSI MAG B650M 박격포 WIFI,"258,000"
ASRock Z790 PG Lightning D5 에즈윈,"269,660"
GIGABYTE A520M K V2 피씨디렉트,"70,700"
Colorful H310M-D M.2 V20 STCOM,"89,550"
ASUS ROG STRIX B660-G GAMING WIFI STCOM,"342,000"
GIGABYTE Z790 AORUS ELITE 제이씨현,"332,690"
ASUS PRO WS W790E-SAGE SE 대원씨티에스,"1,853,200"
ASUS ROG STRIX Z790-E GAMING WIFI II 코잇,"710,240"
ASUS ROG STRIX B660-F GAMING WIFI STCOM,"383,000"
ASUS PRIME B650-PLUS 대원씨티에스,"246,630"
ASRock Z790 Nova WIFI 에즈윈,"522,100"
ASUS ROG STRIX B660-A GAMING WIFI D4 STCOM,"351,000"
