제품명,가격
마이크로닉스 Classic II 풀체인지 700W 80PLUS BRONZE 230V EU,"76,100"
SuperFlower SF-600R12ST MEGA 80PLUS STANDARD 230V EU,"59,000"
"마이크로닉스 Classic II 850W 80PLUS GOLD 230V EU 풀모듈러
12VHPWR 케이블 제공","158,000"
SF-500R12ST MEGA 80PLUS STANDARD 230V EU,"48,000"
SuperFlower SF-850F14HG LEADEX III GOLD BLACK (PCIE 5),"158,000"
쿨러마스터 G800 GOLD,"86,000"
쿨러마스터 MWE 700 BRONZE V2 230V,"67,300"
마이크로닉스 Classic II 풀체인지 700W 80PLUS BRONZE 230V EU 화이트,"81,200"
맥스엘리트 MAXELITE MAXWELL BARON 700W 80PLUS BRONZE 플랫,"74,330"
topower Guardian TOP-700DG 80PLUS BRONZE,"68,100"
SuperFlower SF-850F14XG LEADEX VII GOLD ATX 3.0 (PCIE5),"191,500"
"마이크로닉스 Classic II 750W 80PLUS GOLD 230V EU 풀모듈러
12VHPWR 케이블 제공","129,000"
NEWZEN SKULL 850SM MODULAR ATX 3.0 80PLUS GOLD WHITE (PCIE5),"132,500"
"SuperFlower SF-750F14HG LEADEX III GOLD
12VHPWR 케이블 제공","138,500"
마이크로닉스 Classic II 풀체인지 600W 80PLUS BRONZE 230V EU 화이트,"62,000"
맥스엘리트 MAXELITE MAXWELL BARON 800W 80PLUS BRONZE 플랫,"82,460"
NEWZEN SKULL 750SM MODULAR ATX 3.0 80PLUS GOLD WHITE (PCIE5),"124,000"
topower Guardian TOP-600DG 80PLUS BRONZE,"57,700"
FSP HYPER K PRO 700W 80PLUS Standard 230V EU,"80,700"
SuperFlower SF-1000F14XG LEADEX VII GOLD ATX 3.0 (PCIE5),"222,000"
SuperFlower SF-1000F14XG LEADEX VII GOLD WHITE ATX 3.0 (PCIE5),"221,400"
FSP HYPER K PRO 600W 80PLUS Standard 230V EU,"62,100"
NEWZEN SKULL 1000XM ATX 3.0 80PLUS GOLD PCIE5,"188,400"
쿨러마스터 MWE 500 BRONZE V2 230V,"43,200"
Antec NeoECO 850W 80PLUS GOLD 풀모듈러 ATX 3.0 (PCIE5),"182,000"
마이크로닉스 Classic II 풀체인지 800W 80PLUS BRONZE 230V EU 화이트,"96,100"
SuperFlower SF-850F14XG LEADEX VII GOLD WHITE ATX 3.0 (PCIE5),"197,000"
SuperFlower SF-850F14HG LEADEX III GOLD WHITE (PCIE 5),"162,500"
맥스엘리트 MAXWELL DUKE 1000W 80PLUS PLATINUM 풀모듈러 ATX 3.0,"203,870"
(ICE-MAN ICE-MAN) TFX500W /파워,"28,080"
DARKFLASH UPMOST 850W 80PLUS GOLD FULL MODULAR 화이트,"141,700"
PNC PARTNER EVEREST 650K RGB 80PLUS STANDARD 230V EU 벌크,"59,130"
DARKFLASH UPMOST 750W 80PLUS GOLD FULL MODULAR 화이트,"118,670"
TAGER JN600W GAMING,"35,360"
써멀테이크 터프파워 GF 750W GOLD,"120,410"
FORGAME MAXMASTER MAX 750 GOLD,"89,440"
앱코 SETTLER-II ST-600B ETA BRONZE,"45,240"
