제품명,가격
Western Digital WD BLACK SN850X M.2 NVMe (1TB),"133,000"
마이크론 Crucial P3 Plus 대원씨티에스 (1TB),"101,940"
SK하이닉스 Gold P31 M2 NVMe (1TB),"123,860"
마이크론 Crucial T500 M.2 NVMe 대원씨티에스 (1TB),"130,000"
삼성전자 980 PRO M.2 NVMe (1TB),"163,290"
SK하이닉스 Platinum P41 M.2 NVMe (1TB),"158,500"
마이크론 Crucial P3 대원씨티에스 (500GB),"59,000"
SK하이닉스 GOLD P31 M2 NVMe (500GB),"71,000"
삼성전자 PM9A1 M.2 NVMe 벌크 (1TB),"107,700"
삼성전자 980 PRO M2 NVMe (500GB),"135,210"
마이크론 Crucial P5 Plus M.2 NVMe 대원CTS (500GB),"68,970"
삼성전자 990 PRO M.2 NVMe (1TB),"182,010"
마이크론 Crucial MX500 대원CTS (500GB),"64,700"
Western Digital WD Blue SN580 M.2 NVMe (1TB),"99,840"
ADATA LEGEND 960 M.2 NVMe (1TB),"119,800"
Western Digital WD BLACK SN850X M.2 NVMe (2TB),"240,990"
SK하이닉스 Gold P31 M.2 NVMe (2TB),"235,400"
SK하이닉스 Platinum P41 M.2 NVMe (2TB),"269,000"
이메이션 Z971 M.2 NVMe (1TB),"95,680"
e-STAR M.2 NVMe 2242 ST943 512GB,"111,710"
"(파이슨) Half Slim SSD S9HS 디지탈그리고나 32GB, 벌크 /내장형 SSD","38,010"
인텔 DC P4610 (6.4TB),"2,802,820"
TeamGroup MP33 M.2 NVMe (1TB),"89,440"
실리콘파워 P44 XS70 M.2 NVMe (1TB),"130,910"
파이슨 S11MS mSATA 벌크 (128GB),"33,670"
Seagate Game Drive M.2 NVMe for PS5 (1TB),"228,100"
파이슨 S981 M.2 2280 128GB (벌크),"35,310"
한창코퍼레이션 Cloud SSD (240GB),"24,130"
파이슨 S1125 2.5형 SSD 벌크 (128GB),"31,500"
GIGABYTE AORUS Gen5 12000 M.2 NVMe 제이씨현 (2TB),"457,360"
한창코퍼레이션 Cloud SSD (256GB),"24,530"
Western Digital WD Red SA500 SSD (500GB),"124,160"
파이슨 S548 M.2 2242 벌크 (128GB),"60,840"
PNY CS2140 Gen4 M.2 NVMe 제이씨현 (2TB),"166,410"
GIGABYTE AORUS Gen5 12000 M.2 NVMe 제이씨현 (1TB),"282,460"
한창코퍼레이션 Cloud SSD (480GB),"43,160"
젬스톤 GSTON GSM3000 M.2 NVMe 벌크 (1TB),"94,000"
Western Digital WD Blue SA510 (2TB),"197,610"
한창코퍼레이션 Cloud SSD (512GB),"47,110"
키오시아 EXCERIA PRO M.2 NVMe (1TB),"134,690"
PNY CS900 (240GB),"30,000"
한창코퍼레이션 Cloud SSD (1TB),"82,480"
ADATA Ultimate SU680 (240GB),"33,790"
이메이션 X831 M.2 NVMe 1TB SSD 3D TLC,"89,870"
트랜센드 MTE400S M.2 2242 NVMe (256GB),"54,600"
PNY CS900 제이씨현 (240GB),"30,940"
ADATA Ultimate SU680 (512GB),"54,600"
키오시아 EXCERIA PLUS M.2 NVMe (2TB),"197,610"
트랜센드 MTE300S M.2 2230 NVMe (256GB),"54,600"
명정보기술 MyStor S910 M.2 2280 (512GB),"50,950"
키오시아 EXCERIA PLUS M.2 NVMe (1TB),"189,030"
키오시아 EXCERIA M.2 NVMe (1TB),"134,710"
PNY XLR8 CS3140 Gen4 M.2 NVMe (1TB),"104,000"
트랜센드 MTE220S Series M.2 NVMe 2280 (2TB) 3D TLC,"249,610"
이코모 E42 M.2 2242 (128GB),"46,720"
PNY XLR8 CS3140 Gen4 M.2 NVMe (2TB),"190,100"
Seagate 파이어쿠다 520N M.2 2230 NVMe (2TB),"355,200"
타무즈 GKX570 mSATA 벌크 (16GB),"21,220"
Seagate 파이어쿠다 520N M.2 2230 NVMe (1TB),"180,800"
타무즈 GKX570 mSATA 벌크 (32GB),"32,660"
타무즈 GKV700 M.2 2280 (128GB),"19,780"
비트엠 Newsync BITS (128GB),"18,450"
Biostar S160 (256GB),"30,680"
Ace A55 (512GB),"45,450"
타무즈 GKX570 mSATA 벌크 (64GB),"41,500"
(e-STAR) SSD NGFF ST340 M.2 2242 256GB /내장형 SSD,"72,460"
Ace A55 128GB,"18,300"
이코모 NVMe M.2 2242 E842 128GB,"60,840"
타무즈 GKX570 mSATA 벌크 (128GB),"47,220"
e-STAR SX301 mSATA (256GB),"60,830"
비트엠 Newsync BITS (256GB),"28,080"
비트엠 Newsync BITS M.2 NVMe (256GB),"32,570"
e-STAR S92 2.5 SSD 256GB,"45,420"
엠씨케이글로벌 OUTTON MK-500 LITE M.2 NVMe (512GB),"51,000"
에이서 프레데터 GM7000 M.2 NVMe 512GB (쿨링패드),"92,040"
엠씨케이글로벌 OUTTON MK-500 LITE SSD (128GB),"17,880"
(트랜센드) SSD370S 128GB /내장형 SSD,"93,080"
비트엠 Newsync BITS (512GB),"47,830"
비트엠 Newsync BITS M.2 NVMe (1TB),"93,510"
마이크론 Crucial DDR5-6000 CL48 PRO 패키지 아스크텍 (48GB(24Gx2)),"186,100"
마이크론 Crucial MX500 대원CTS (4TB),"380,800"
GIGABYTE AORUS Gen4 M.2 NVMe (2TB),"184,680"
HIKVISION Desire-S (128GB),"20,140"
이메이션 MS631 mSATA (512GB),"74,880"
트랜센드 SSD230S (128GB),"35,350"
디지탈그리고나 이코모 E25 2.5 SSD (512GB),"45,620"
삼성전자 PM981a M.2 2280 병행수입 (1TB),"167,130"
(트랜센드) SSD220S 240GB /내장형 SSD,"40,870"
ESSENCORE KLEVV CRAS C920 M.2 NVMe (2TB),"350,000"
트랜센드 MTS820 Portable SSD (120GB),"48,880"
마이크론 Crucial P3 Plus 대원씨티에스 (500GB),"62,710"
인텔 660P M.2 2280 (512GB),"51,160"
ESSENCORE KLEVV CRAS C730 M.2 NVMe (2TB),"154,450"
트랜센드 MSA230S mSATA (128GB),"36,910"
PNY CS900 제이씨현 (500GB),"46,800"
마이크론 Crucial P3 Plus 대원씨티에스 (4TB),"360,100"
마이크론 Crucial T500 히트싱크 M.2 NVMe 대원씨티에스 (2TB),"259,600"
STCOM STORM SSD (480GB),"43,680"
GIGABYTE SSD M.2 NVMe (500GB),"76,960"
