제품명,가격
Toshiba 1TB P300 HDWD110 (SATA3/7200/64M),"70,700"
Toshiba 2TB P300 HDWD120 (SATA3/7200/64M),"91,500"
Western Digital WD 1TB BLUE WD10EZEX SATA3/7200/64M /HDD,"66,170"
Seagate 3TB BarraCuda ST3000DM007 (SATA3/5400/256M),"107,400"
Toshiba 4TB N300 HDWQ140 (SATA3/7200/128M),"160,800"
Seagate 1TB BarraCuda ST1000DM010 (SATA3/7200/64M),"73,180"
Seagate 2TB BarraCuda ST2000DM008 (SATA3/7200/256M),"87,300"
Seagate 4TB BarraCuda ST4000DM004 (SATA3/5400/256M),"127,930"
"Western Digital WD BLUE 5400/256M (WD40EZAX, 4TB)","119,000"
Western Digital 4TB Ultrastar DC HC310 패키지 (SATA3/7200/256M),"179,470"
Western Digital 14TB Ultrastar DC HC530 패키지 (SATA3/7200/512M/4PACK),"1,959,720"
Western Digital 8TB Ultrastar DC HC320 HUS728T8TALE6L4 2PACK,"609,290"
Western Digital 6TB Ultrastar DC HC310 패키지 (SATA3/7200/256M),"249,290"
Western Digital 14TB Ultrastar DC HC530 WUH721414ALE6L4 (SATA3/7200/512M) [헬륨충전],"500,540"
Western Digital 6TB Ultrastar DC HC310 HUS726T6TALA6L4 (SATA3/7200/256M),"261,240"
[중고] Sebap 500GB SM500RS(SATA3/5400/128M/노트북용/리퍼),"27,160"
"Seagate IronWolf 5400/256M (ST1000VN008, 1TB)","122,600"
Western Digital 4TB Ultrastar DC HC310 패키지 (SATA3/7200/256M/4PACK),"686,480"
Western Digital 6TB Ultrastar DC HC310 패키지 (SATA3/7200/256M/2PACK),"493,990"
Western Digital 6TB Ultrastar DC HC310 패키지 (SATA3/7200/256M/4PACK),"973,380"
"Seagate IronWolf 5400/256M (ST6000VN006, 6TB)","268,810"
"Western Digital WD BLUE 5640/128M (WD80EAZZ, 8TB)","178,890"
Western Digital 8TB Ultrastar DC HC320 HUS728T8TALE6L4 1PACK,"304,180"
"Seagate IronWolf 7200/256M (ST8000VN002, 8TB)","320,710"
Western Digital 8TB Ultrastar DC HC320 HUS728T8TALE6L4 4PACK,"1,215,930"
Western Digital 12TB Ultrastar DC HC520 패키지 (SATA3/7200/256M),"423,680"
"Seagate IronWolf 5900/64M (ST3000VN006, 3TB)","154,810"
Western Digital 12TB Ultrastar DC HC520 패키지 (SATA3/7200/256M/2PACK),"847,370"
Western Digital 12TB Ultrastar DC HC520 패키지 (SATA3/7200/256M/4PACK),"1,694,730"
"Seagate IronWolf Pro 7200/256M (ST8000NT001, 8TB)","408,930"
"Seagate Exos 7E2000 7200/128M (ST1000NX0313, 1TB)","394,100"
Western Digital 14TB Ultrastar DC HC530 패키지 (SATA3/7200/512M),"488,860"
"Seagate Exos 7E2000 SAS/7200/128M (ST1000NX0333, 1TB)","415,200"
Western Digital 14TB Ultrastar DC HC530 패키지 (SATA3/7200/512M/2PACK),"977,730"
Western Digital 10TB Ultrastar DC HC330 WUS721010ALE6L4 패키지 (SATA3/7200/256M),"363,930"
Western Digital 10TB Ultrastar DC HC330 WUS721010ALE6L4 패키지 (SATA3/7200/256M/2PACK),"727,870"
Western Digital 10TB Ultrastar DC HC330 WUS721010ALE6L4 패키지 (SATA3/7200/256M/4PACK),"1,455,730"
"Seagate IronWolf Pro 7200/512M (ST24000NT002, 24TB)","937,470"
"Western Digital WD BLUE 7200/256M (WD20EZBX, 2TB)","78,000"
도시바 10TB X300 HDWR11A,"338,680"
Western Digital 14TB Ultrastar DC HC530 WUH721414AL5204 (SAS/7200/512M),"521,460"
Western Digital 10TB Ultrastar DC HC330 WUS721010ALE6L4 (SATA3/7200/256M),"369,360"
"Western Digital WD Ultrastar DC HC550 패키지 7200/512M (WUH721818ALE6L4, 4x18TB)","2,493,240"
Western Digital 1TB Ultrastar DC HA210 HUS722T1TALA604 (SATA3/7200/128M),"136,880"
"Western Digital WD Ultrastar DC HC550 패키지 7200/512M (WUH721818ALE6L4, 2x18TB)","1,151,550"
(도시바) 1TB DT01ABA100V SATA3/5700/64M /HDD,"73,700"
"Western Digital WD Ultrastar DC HC550 패키지 7200/512M (WUH721816ALE6L4, 4x16TB)","2,172,730"
"Western Digital WD Ultrastar DC HC550 패키지 7200/512M (WUH721816ALE6L4, 2x16TB)","1,086,370"
"Western Digital WD Ultrastar DC HC550 패키지 7200/512M (WUH721818ALE6L4, 18TB)","575,770"
"Western Digital WD Ultrastar DC HC550 패키지 7200/512M (WUH721816ALE6L4, 16TB)","543,180"
"Western Digital WD Ultrastar DC HC550 SAS/7200/512M (WUH721818AL5204, 18TB)","619,230"
